opeid,school,total,min_aid
00380000,Washington State University,21768544,10884272
00186900,Iowa State University Of Science & Technology,21698857,10849429
00141700,University Of Connecticut,21500845,10750423
00210300,"University Of Maryland, College Park",21490713,10745357
00344800,University Of South Carolina - Columbia,21415130,10707565
02260600,Nuc University,21367165,10683583
02217100,Pima Medical Institute,21285691,10642846
00337900,University Of Pittsburgh,21265340,10632670
02151900,Keiser University,21190626,10595313
00365600,University Of Texas At Arlington,21177188,10588594
01171900,Universidad Ana G. Méndez - Gurabo Campus,21074293,10537147
00181300,Indiana University - Purdue University Indianapolis,20919345,10459673
00374900,George Mason University,20855024,10427512
00105100,University Of Alabama,20722538,10361269
00373500,Virginia Commonwealth University,20288998,10144499
00382700,West Virginia University,20174232,10087116
00372700,Northern Virginia Community College,20028703,10014352
03103400,South Texas College,20022398,10011199
00114600,"California State University, Chico",19959391,9979696
00261700,Montclair State University,19911482,9955741
00389500,University Of Wisconsin - Madison,19783001,9891501
00283800,State University Of New York At Stony Brook,19710714,9855357
00394400,University Of Puerto Rico - Mayaguez,19658125,9829063
00310000,Ohio University,19475431,9737716
00375400,Virginia Polytechnic Institute & State University,19398987,9699494
00292300,East Carolina University,19358758,9679379
00132100,"University Of California, Santa Cruz",19327201,9663601
00305100,Kent State University,19307244,9653622
00232900,Wayne State University,19306183,9653092
00132800,University Of Southern California,19278560,9639280
00353000,University Of Tennessee,19258313,9629157
00974100,University Of Texas At Dallas,19132188,9566094
00268900,Cuny Hunter College,19006958,9503479
00151200,Palm Beach State College,18933435,9466718
00201000,Louisiana State University & Agricultural & Mechanical College,18882288,9441144
00137000,University Of Colorado Boulder,18732408,9366204
00367500,University Of Utah,18725330,9362665
00297600,University Of North Carolina -Greensboro,18567881,9283941
00114100,"California State University, Dominguez Hills",18481277,9240639
00222100,University Of Massachusetts - Amherst,18335243,9167622
00226800,Grand Valley State University,18333428,9166714
00162500,Brigham Young University - Idaho,18172623,9086312
00318400,University Of Oklahoma,17935530,8967765
00297200,North Carolina State University,17895881,8947941
00242300,Mississippi State University,17856107,8928054
00198900,University Of Kentucky,17811058,8905529
00135000,Colorado State University,17693711,8846856
00268700,Cuny Brooklyn College,17627330,8813665
00360600,Sam Houston State University,17468204,8734102
00124500,Mount San Antonio College,17457959,8728980
00367700,Utah State University,17428745,8714373
00209900,Towson University,17335851,8667926
02305800,Florida Career College,17303589,8651795
00351000,Middle Tennessee State University,17299411,8649706
00297400,University Of North Carolina - Chapel Hill,17295177,8647589
00266300,University Of New Mexico,17266512,8633256
02587500,Universidad Ana G. Méndez - Cupey Campus,17052692,8526346
00389600,University Of Wisconsin - Milwaukee,16925665,8462833
00710800,University Of Puerto Rico - Rio Piedras Campus,16873620,8436810
00317000,Oklahoma State University,16765725,8382863
01019800,Ecpi University,16762368,8381184
00269000,Cuny Queens College,16736798,8368399
00244000,University Of Mississippi,16642638,8321319
00321600,Portland State University,16640405,8320203
01038700,El Paso Community College,16590145,8295073
00727300,Cuny Bernard M. Baruch College,16563226,8281613
00251600,University Of Missouri - Columbia,16309144,8154572
00787000,Hillsborough Community College,16262267,8131134
00189200,University Of Iowa,16171354,8085677
00169200,Illinois State University,16121422,8060711
00324900,Community College Of Philadelphia,16102431,8051216
00322300,University Of Oregon,16095946,8047973
00283500,State University Of New York At Albany,16063982,8031991
02306800,Platt College,16031127,8015564
03011300,"California State University, San Marcos",15963036,7981518
00290600,Appalachian State University,15927932,7963966
00100900,Auburn University,15645745,7822873
00256500,University Of Nebraska,15628700,7814350
00350900,University Of Memphis (The),15603749,7801875
00321000,Oregon State University,15559998,7779999
00372800,Old Dominion University,15548901,7774451
00233000,Western Michigan University,15486304,7743152
00110800,University Of Arkansas,15454361,7727181
00268800,City College Of New York - Cuny,15399906,7699953
00269300,Cuny John Jay College Of Criminal Justice,15320009,7660005
00178600,Ball State University,15246930,7623465
00126100,Pasadena City College,15230050,7615025
02053000,Liberty University,15205124,7602562
00194800,University Of Kansas,15189645,7594823
00213000,Boston University,14995316,7497658
02559300,United Education Institute,14992982,7496491
00822100,Universal Technical Institute,14950305,7475153
00173700,Northern Illinois University,14825179,7412590
00121900,Long Beach City College,14663058,7331529
00113800,"California State University, East Bay",14617347,7308674
00148400,Florida State College At Jacksonville,14500515,7250258
00260900,Rowan University,14471695,7235848
00136000,Metropolitan State University Of Denver,14390083,7195042
00167100,Depaul University,14373219,7186610
00224300,Central Michigan University,14322194,7161097
00256800,"University Of Nevada , Reno",14244534,7122267
00394100,Universidad Ana G. Méndez - Carolina Campus,14212207,7106104
00340400,Johnson & Wales University,14182680,7091340
00312300,University Of Akron (The),14151817,7075909
00354900,Blinn College,14141911,7070956
00290500,North Carolina Agricultural & Technical State University,14103628,7051814
00114300,California Polytechnic State University,14095976,7047988
01036200,College Of Southern Nevada,14078408,7039204
00265700,New Mexico State University,14076359,7038180
01201500,Austin Community College,13907800,6953900
00250300,Missouri State University,13855674,6927837
00230700,Oakland University,13796824,6898412
00363000,Prairie View Agricultural & Mechanical University,13752928,6876464
00225900,Eastern Michigan University,13733990,6866995
00158500,University Of North Georgia,13636481,6818241
00283600,Binghamton University,13607332,6803666
00799300,"California State University, Bakersfield",13588942,6794471
00342500,Clemson University,13579995,6789998
00313100,University Of Toledo,13547254,6773627
00262200,Kean University,13509139,6754570
00244100,University Of Southern Mississippi,13506042,6753021
04142900,Georgia Gwinnett College,13470330,6735165
03026500,Remington College,13408868,6704434
00793800,Lincoln College Of Technology,13341054,6670527
00115700,"California State University, Stanislaus",13314715,6657358
00702200,Cuny Lehman College,13293096,6646548
00287800,Suffolk County Community College,13179539,6589770
00325600,Drexel University,13179268,6589634
00301800,Bowling Green State University,13163417,6581709
00148000,Florida Agricultural & Mechanical University,13051325,6525663
04127100,"University Of California, Merced",13037897,6518949
01005100,Cuny Laguardia Community College,12917232,6458616
00270700,Columbia University In The City Of New York,12830199,6415100
00152800,St. Petersburg College,12813482,6406741
00271100,Cornell University,12800980,6400490
00192800,Kansas State University,12686554,6343277
00203100,University Of Louisiana At Lafayette,12686007,6343004
00393600,Pontifical Catholic University Of Puerto Rico (The),12669949,6334975
00269800,College Of Staten Island/Cuny,12595956,6297978
00686700,Columbus State Community College,12562800,6281400
00321300,Portland Community College,12538743,6269372
00199900,University Of Louisville,12478790,6239395
00303200,Cleveland State University,12226765,6113383
00128600,Santa Monica College,12193513,6096757
00282300,Saint John'S University,12191880,6095940
00116100,Cerritos Community College,12186449,6093225
00222200,University Of Massachusetts - Boston,12184652,6092326
00111800,Bakersfield College,12182994,6091497
00143100,University Of Delaware,12174809,6087405
00105200,University Of Alabama At Birmingham,12131256,6065628
00372100,James Madison University,12080658,6040329
00287300,Nassau Community College,12022119,6011060
00371200,Tidewater Community College,11999956,5999978
00332800,West Chester University Of Pennsylvania,11992115,5996058
03698300,West Coast University,11797821,5898911
00364200,Texas Southern University,11796898,5898449
00984100,University Of North Florida,11770196,5885098
00374500,University Of Virginia,11716710,5858355
00368000,Weber State University,11714226,5857113
00119700,El Camino College,11659979,5829990
00219900,Northeastern University,11648813,5824407
00258900,University Of New Hampshire,11647555,5823778
00380200,Western Washington University,11641693,5820847
00116300,Chaffey Community College,11446484,5723242
00105700,University Of South Alabama,11408535,5704268
00479900,Monroe College,11408077,5704039
00869400,Rasmussen College,11388948,5694474
02572000,Vista College,11351349,5675675
00269700,Queensborough Community College-Cuny,11321080,5660540
00462500,Delgado Community College,11310381,5655191
00341400,University Of Rhode Island,11238683,5619342
00130700,Fresno City College,11224898,5612449
00315200,University Of Central Oklahoma,11170390,5585195
03255300,Florida Gulf Coast University,11143620,5571810
00161000,University Of Hawaii At Manoa,11009867,5504934
00691100,Montgomery College,10995749,5497875
00161600,Boise State University,10937516,5468758
00363100,Tarleton State University,10893519,5446760
00160100,University Of West Georgia,10881459,5440730
00127000,Riverside City College,10831532,5415766
02226000,East Los Angeles College,10797043,5398522
02361400,Collin County Community College,10790912,5395456
00291500,Central Piedmont Community College,10787553,5393777
00354500,Baylor University,10777489,5388745
00255400,University Of Nebraska At Omaha,10759273,5379637
00522000,Salt Lake Community College,10647873,5323937
00200200,Western Kentucky University,10636493,5318247
00123200,American River College,10613663,5306832
00202400,Southeastern Louisiana University,10580284,5290142
00298400,University Of North At Carolina Wilmington (The),10566053,5283027
00253200,Montana State University Bozeman,10560079,5280040
00196300,Eastern Kentucky University,10542767,5271384
00362400,Stephen F Austin State University,10525078,5262539
00240700,Hinds Community College,10520779,5260390
00284200,Suny College At Buffalo,10484417,5242209
00484400,Wake Technical Community College,10390849,5195425
00156900,Georgia Institute Of Technology,10388077,5194039
00280600,Rochester Institute Of Technology,10380480,5190240
00314500,Youngstown State University,10376462,5188231
00114900,Humboldt State University,10302998,5151499
00111300,Antelope Valley College,10245691,5122846
00450800,University Of Colorado Denver,10184083,5092042
00269400,Kingsborough Commmunity College/Cuny,10156521,5078261
00307800,Wright State University,10140846,5070423
01116100,Texas A&M University - Corpus Christi,10105662,5052831
00345100,Coastal Carolina University,10054347,5027174
00327700,Indiana University Of Pennsylvania,10050461,5025231
00171000,Loyola University Chicago,10043948,5021974
00934500,Stockton University,10041238,5020619
00304000,Cuyahoga Community College,10027370,5013685
00340800,Community College Of Rhode Island,10000569,5000285
00726600,Pima County Community College,9989049,4994525
00377500,Eastern Washington University,9986299,4993150
00363400,Texas State Technical College,9965155,4982578
00288200,Syracuse University,9920122,4960061
00337800,University Of Pennsylvania,9907683,4953842
00262500,William Paterson University Of New Jersey,9763356,4881678
00124600,Mt. San Jacinto College,9713109,4856555
00120100,Fullerton College,9700734,4850367
00347800,Austin Peay State University,9687866,4843933
00175900,Southern Illinois University Edwardsville,9678393,4839197
00269200,Cuny Bronx Community College,9658626,4829313
00890600,Macomb Community College,9617297,4808649
00109200,University Of Central Arkansas,9604924,4802462
00124000,Modesto Junior College,9575504,4787752
00180700,Indiana State University,9566914,4783457
00149300,Indian River State College,9553094,4776547
00352900,University Of Tennessee - Chattanooga,9513779,4756890
00965100,Texas A&M International University,9501756,4750878
00361200,University Of Houston - Downtown,9456650,4728325
02362100,Full Sail University,9445834,4722917
00202500,Southern University And Agricultural & Mechanical Colg At Baton Rouge,9396803,4698402
00206300,Community College Of Baltimore County,9349870,4674935
00159900,Valdosta State University,9331398,4665699
02100500,Universal Technical Institute,9330780,4665390
00210500,University Of Maryland - Baltimore County,9315657,4657829
00474200,Central New Mexico Community College,9305433,4652717
00208300,Morgan State University,9263592,4631796
00109000,Arkansas State University,9258158,4629079
00129400,Southwestern Community College District,9253264,4626632
00147700,Florida Southwestern State College,9178997,4589499
03083700,Galen Health Institutes,9167121,4583561
00287200,Monroe Community College,9166962,4583481
00227000,Henry Ford College,9153117,4576559
00226000,Ferris State University,9146813,4573407
00100200,Alabama Agricultural & Mechanical University,9121201,4560601
00125000,Orange Coast College,9120468,4560234
00144400,George Washington University,9118529,4559265
00327300,Harrisburg Area Community College,9105781,4552891
00665600,College Of Du Page,9100886,4550443
00115600,Sonoma State University,9093447,4546724
00373200,Radford University,9092203,4546102
00236000,"Minnesota State University, Mankato",9088962,4544481
00137800,Central Connecticut State University,9009014,4504507
01172700,Delaware Technical Community College,9008399,4504200
00381500,Marshall University,9003939,4501970
00360900,San Jacinto Community College District,8950463,4475232
00295000,North Carolina Central University,8932233,4466117
00358200,Laredo College,8926222,4463111
00216100,University Of Massachusetts - Lowell,8900322,4450161
00298100,Western Carolina University,8893407,4446704
00502800,Inter American University Of Puerto Rico - Bayamon Campus,8889905,4444953
00267800,Bryant & Stratton College,8877497,4438749
00175800,Southern Illinois University At Carbondale,8866635,4433318
02362000,Universal Technical Institute,8848799,4424400
00218300,Bridgewater State University,8833662,4416831
04254200,Inter American University Of Puerto Rico San Germán Campus,8830671,4415336
00147000,Eastern Florida State College,8816361,4408181
00195000,Wichita State University,8786465,4393233
00247100,Saint Louis Community College,8727263,4363632
00144800,Howard University,8723244,4361622
00352300,Tennessee Technological University,8713463,4356732
00248400,Metropolitan Community College,8709049,4354525
00215500,Harvard University,8655748,4327874
00118600,College Of The Sequoias,8630859,4315430
03980300,California State University Channel Islands,8580009,4290005
00279100,Pace University,8562106,4281053
00104700,Troy University,8544084,4272042
00173900,Northwestern University,8521175,4260588
00386600,Milwaukee Area Technical College,8505373,4252687
01295400,Hudson County Community College,8467661,4233831
00473600,Bergen Community College,8461418,4230709
03260300,"California State University, Monterey Bay",8459727,4229864
00241000,Jackson State University,8446248,4223124
00140600,Southern Connecticut State University,8390168,4195084
00261300,New Jersey City University,8337070,4168535
01121000,Bunker Hill Community College,8310307,4155154
00107600,Glendale Community College,8301836,4150918
00483800,Guilford Technical Community College,8260390,4130195
01031900,Fortis Institute - Towson,8227327,4113664
02141500,Savannah College Of Art And Design,8209651,4104826
00392600,University Of Wisconsin - Whitewater,8169773,4084887
00152000,Seminole State College Of Florida,8150059,4075030
00272200,Fordham University,8147184,4073592
00153600,University Of Miami,8139089,4069545
00393900,Inter American University Of Puerto Rico - Aguadilla Campus,8125496,4062748
00262100,New Jersey Institute Of Technology,8110969,4055485
00133500,Victor Valley Community College,8067843,4033922
00638500,Chamberlain University,8007329,4003665
00927500,Northern Kentucky University,7998963,3999482
00178000,Western Illinois University,7997093,3998547
01068400,Erie Community College,7995845,3997923
00323100,Community College Of Allegheny County,7987479,3993740
00976300,Tulsa Community College,7980293,3990147
00156400,Emory University,7974341,3987171
03083000,Ozarks Technical Community College,7950662,3975331
00123300,Sacramento City College,7946038,3973019
00450900,University Of Colorado Colorado Springs,7925645,3962823
00112500,California Baptist University,7913118,3956559
00331500,Bloomsburg University Of Pennsylvania,7906785,3953393
00241700,Mississippi Gulf Coast Community College,7880280,3940140
00151900,Santa Fe College,7859449,3929725
00128000,San Joaquin Delta College,7835430,3917715
00237700,St. Cloud State University,7821764,3910882
00153300,Tallahassee Community College,7763584,3881792
00710700,Essex County College,7752662,3876331
00284100,Suny College At Brockport,7750148,3875074
00299700,North Dakota State University - Fargo,7728326,3864163
01303900,South University,7726176,3863088
00126000,Palomar College,7702862,3851431
00377100,Central Washington University,7695384,3847692
00122600,Los Angeles Pierce College,7694796,3847398
00722800,University Of Puerto Rico - Arecibo,7684735,3842368
00147500,Daytona State College,7681731,3840866
00253600,University Of Montana (The),7652275,3826138
00134900,University Of Northern Colorado,7650214,3825107
00916300,San Antonio College,7648254,3824127
00342800,College Of Charleston,7642022,3821011
03025500,Mech Tech College,7627631,3813816
00189000,University Of Northern Iowa,7618737,3809369
00205300,University Of Maine,7603694,3801847
00129000,Sierra College,7595581,3797791
01014200,Touro College,7558879,3779440
00394000,Inter American University Of Puerto Rico - Metropolitan Campus,7548666,3774333
00889600,Pikes Peak Community College,7543778,3771889
00502900,Inter American University Of Puerto Rico - Ponce Campus,7526308,3763154
00230300,Oakland Community College,7474366,3737183
00238800,University Of Minnesota  Duluth,7453951,3726976
00340700,Rhode Island College,7443916,3721958
00311900,Sinclair Community College,7434204,3717102
00116600,Citrus College,7429415,3714708
00332200,Kutztown University Of Pennsylvania,7424966,3712483
00364800,Tyler Junior College,7395647,3697824
00264300,Union County College,7393008,3696504
00261500,Middlesex County College,7378634,3689317
00130500,Stanford University,7376668,3688334
00332700,Slippery Rock University,7354069,3677035
00107700,Mesa Community College,7352103,3676052
00712000,Des Moines Area Community College,7345999,3673000
00399300,Midlands Technical College,7332783,3666392
01043900,Southwest Tennessee Community College,7298437,3649219
00132500,University Of San Francisco,7293888,3646944
00807300,Butte College,7281962,3640981
00861100,"Cuny, Hostos Community College",7267430,3633715
00284800,Suny College At Oswego,7244716,3622358
00448000,De Anza Community College,7235258,3617629
00352200,Tennessee State University,7214661,3607331
00475900,Cuny York College,7205414,3602707
00288100,Suny Westchester Community College,7195672,3597836
00356500,Texas A&M University - Commerce,7193156,3596578
03368300,Midwest Technical Institute,7164512,3582256
00150900,Nova Southeastern University,7157194,3578597
00119300,Cypress College,7147934,3573967
00120800,Grossmont College,7141562,3570781
01009700,Cuny Medgar Evers College,7109437,3554719
00502600,Inter American University Of Puerto Rico - Arecibo Campus,7100104,3550052
00162000,Idaho State University,7097839,3548920
00200800,Louisiana Tech University,7094887,3547444
00391700,University Of Wisconsin - Eau Claire,7091955,3545978
00363900,Texas A&M University - Kingsville,7087427,3543714
00135800,Colorado Mesa University,7068379,3534190
00251800,University Of Missouri - Kansas City,7062723,3531362
00118200,College Of The Desert,7061346,3530673
00369600,University Of Vermont And State Agricultural College,7055880,3527940
00358100,Lamar University,7048774,3524387
00277200,Mercy College,7046720,3523360
00793300,Front Range Community College,7046470,3523235
00286600,Fashion Institute Of Technology,7035399,3517700
00200600,Grambling State University,7010388,3505194
00450200,City College Of San Francisco,7009874,3504937
00275100,Long Island University,7007826,3503913
01097500,University Of Puerto Rico Bayamon Technical University College,6991670,3495835
00232600,University Of Michigan - Dearborn,6989129,3494565
00153800,University Of Tampa (The),6941444,3470722
03372300,Northwest Vista College,6926619,3463310
00231400,Saginaw Valley State University,6911064,3455532
00245400,University Of Central Missouri,6908319,3454160
00162600,University Of Idaho,6905295,3452648
00376500,Norfolk State University,6901715,3450858
00376400,Virginia State University,6855810,3427905
00142600,Yale University,6851139,3425570
00147900,Embry-Riddle Aeronautical University,6845716,3422858
03128100,College Of Health Care Professions (The),6835962,3417981
00250100,Southeast Missouri State University,6830214,3415107
02576900,Charter College,6816451,3408226
00226700,Grand Rapids Community College,6806171,3403086
00395500,University Of West Florida (The),6801388,3400694
00391900,University Of Wisconsin - Lacrosse,6789642,3394821
00127200,San Bernardino Valley College,6732563,3366282
00292000,Duke University,6714022,3357011
00248000,Lindenwood University,6706309,3353155
00119100,Diablo Valley College,6679277,3339639
00399100,Greenville Technical College,6663667,3331834
00146700,Bethune Cookman University,6648501,3324251
00386300,Marquette University,6646735,3323368
00393200,University Of Wyoming,6613580,3306790
00206200,Bowie State University,6596246,3298123
02098800,University Of Phoenix,6589433,3294717
01065200,Pasco - Hernando State College,6574907,3287454
00492000,Trident Technical College,6568275,3284138
00690100,Rowan College Of South Jersey,6557641,3278821
00284600,State University Of New York At New Paltz,6537407,3268704
00123700,Merced Community College,6536491,3268246
00218800,Salem State University,6512818,3256409
00730300,Lincoln Technical Institute,6495045,3247523
00332000,East Stroudsburg University Of Pennsylvania,6469323,3234662
00769200,Moraine Valley Community College,6465543,3232772
01246100,Lincoln Technical Institute,6452823,3226412
00212800,Boston College,6448576,3224288
00208900,Prince George'S Community College,6421788,3210894
03730300,Baton Rouge Community College,6420025,3210013
00159000,Savannah State University,6374932,3187466
00252000,Washington University In St. Louis,6368472,3184236
00354100,Angelo State University,6359561,3179781
00156100,Columbus State University,6352178,3176089
00166500,Columbia College Chicago,6341542,3170771
00407600,Kirkwood Community College,6336610,3168305
00840400,Brookdale Community College,6334411,3167206
00890300,College Of The Canyons,6326734,3163367
00143400,American University (The),6314017,3157009
00392400,University Of Wisconsin - Stevens Point,6312792,3156396
03035300,Southern Careers Institute,6305240,3152620
00221000,University Of Massachusetts - Dartmouth,6288232,3144116
00100500,Alabama State University,6284463,3142232
00295400,University Of North Carolina At Pembroke,6274710,3137355
03095500,Asa College,6272628,3136314
00197700,Murray State University,6270769,3135385
00207700,Johns Hopkins University,6266940,3133470
00273200,Hofstra University,6249515,3124758
00284300,Suny College At Cortland,6245138,3122569
00126900,Rio Hondo Community College,6232775,3116388
00392000,University Of Wisconsin - Oshkosh,6207761,3103881
00177400,University Of Chicago (The),6207010,3103505
00367100,Dixie State University,6176699,3088350
00923000,Wayne County Community College District,6158090,3079045
00122800,Los Angeles Valley College,6154624,3077312
00285800,State University Of New York At Farmingdale,6154318,3077159
00157900,Augusta University,6145342,3072671
00298600,Winston-Salem State University,6117980,3058990
00151400,Polk State College,6116050,3058025
00144500,Georgetown University,6110643,3055322
00695100,University Of South Carolina Upstate,6104655,3052328
00169300,Northeastern Illinois University,6070904,3035452
00155900,Clark Atlanta University,6064349,3032175
00102000,Jacksonville State University,6050640,3025320
00719100,Northampton County Area Community College,6039116,3019558
00347100,South Dakota State University,6020168,3010084
00197600,Morehead State University,6016440,3008220
00289400,University Of Rochester,6011698,3005849
00151300,Pensacola State College,6004939,3002470
00157100,Georgia Military College,5998679,2999340
00230100,Northern Michigan University,5994618,2997309
00158100,Middle Georgia State University,5988167,2994084
00209100,Salisbury University,5959457,2979729
00110100,University Of Arkansas At Little Rock,5956500,2978250
02241800,American Career College,5944572,2972286
00128700,Santa Rosa Junior College,5942841,2971421
00764000,Fayetteville Technical Community College,5913774,2956887
00127500,San Diego Mesa College,5911519,2955760
01212300,"University Of Puerto Rico, Aguadilla Regional College",5899782,2949891
00794700,Beth Medrash Govoha Of America,5899593,2949797
00180800,University Of Southern Indiana,5890282,2945141
00239600,Alcorn State University,5886916,2943458
02547600,Florida National University,5884598,2942299
00251900,University Of Missouri - Saint Louis,5830225,2915113
00182700,Purdue University Northwest,5824998,2912499
00227800,Lansing Community College,5804315,2902158
00184000,University Of Notre Dame,5793244,2896622
00145900,Strayer University,5792122,2896061
00242700,Northwest Mississippi Community College,5787016,2893508
00686500,Camden County College,5784112,2892056
00202000,University Of Louisiana At Monroe,5777764,2888882
00260700,Fairleigh Dickinson University,5771203,2885602
00128500,Santa Barbara City College,5767428,2883714
01258600,Metropolitan Community College,5767395,2883698
00366500,West Texas A&M University,5764767,2882384
00467300,Baker College,5754381,2877191
00321800,Chemeketa Community College,5750738,2875369
00263200,Seton Hall University,5749918,2874959
00284700,Suny College At Oneonta,5740817,2870409
00720600,University Of Puerto Rico - Cayey University College,5738057,2869029
02284300,Interactive College Of Technology,5735726,2867863
00324200,Carnegie Mellon University,5735086,2867543
00363600,Texas Christian University,5728641,2864321
00165200,Harold Washington College,5708949,2854475
00239400,Winona State University,5696956,2848478
00105500,University Of Alabama In Huntsville,5679758,2839879
00316100,Northeastern State University,5676974,2838487
00394300,University Of Puerto Rico - Humacao University College,5664236,2832118
00121600,University Of La Verne,5658977,2829489
00202100,Northwestern State University,5647034,2823517
03956300,South Louisiana Community College,5645949,2822975
00353500,Vanderbilt University,5632423,2816212
00367800,Southern Utah University,5624696,2812348
00332500,Millersville University Of Pennsylvania,5617301,2808651
04248500,Texas A&M University-San Antonio,5613425,2806713
00128400,Santa Ana College,5594396,2797198
00202900,Tulane University,5590189,2795095
00182800,Purdue University Fort Wayne,5589305,2794653
00201500,University Of New Orleans (The),5581887,2790944
00753600,Cosumnes River College,5574947,2787474
01039100,Oklahoma City Community College,5566700,2783350
00142800,Delaware State University,5565920,2782960
01171100,University Of Houston - Clear Lake,5555369,2777685
00111700,Azusa Pacific University,5548456,2774228
00396100,Harper College,5526516,2763258
00710900,Suny College At Old Westbury,5522673,2761337
00284400,Suny At Fredonia,5513590,2756795
00111000,University Of Arkansas At Fort Smith,5511303,2755652
00123900,Miracosta College,5511006,2755503
00406200,Pitt Community College,5510793,2755397
00961800,Tulsa Welding School,5505774,2752887
00116400,Chapman University,5505229,2752615
00400700,Madison Area Technical College,5500069,2750035
00169900,Joliet Junior College,5497625,2748813
00258000,Southern New Hampshire University,5494008,2747004
00300500,University Of North Dakota,5491551,2745776
00201700,Mcneese State University,5456361,2728181
00999400,Passaic County Community College,5451658,2725829
01146200,University Of Alaska Anchorage,5445184,2722592
00332600,Shippensburg University Of Pennsylvania,5436200,2718100
00974800,Carrington College,5403151,2701576
00393700,Universidad Del Sagrado Corazón,5395359,2697680
00345600,Winthrop University,5382130,2691065
00226100,Charles Stewart Mott Community College,5378749,2689375
00325800,Duquesne University Of The Holy Spirit,5373970,2686985
00711000,Delaware County Community College,5360154,2680077
00140200,Quinnipiac University,5345199,2672600
00339500,Pennsylvania College Of Technology,5341470,2670735
02288400,Gwinnett Technical College,5336576,2668288
00192600,Pittsburg State University,5318769,2659385
00965200,"University Of Puerto Rico, Ponce",5314251,2657126
03493300,All-State Career,5309772,2654886
00399800,Chattanooga State Community College,5283482,2641741
00158000,Mercer University,5265925,2632963
00284900,State University Of New York College At Plattsburgh,5258169,2629085
00266600,Adelphi University,5246966,2623483
00287500,Onondaga Community College,5222555,2611278
00357800,University Of The Incarnate Word,5219687,2609844
01164400,University Of Maryland Global Campus,5210563,2605282
00251700,Missouri University Of Science And Technology,5205598,2602799
00377300,Clark College,5205413,2602707
00312700,University Of Dayton,5197738,2598869
00122300,Los Angeles City College,5197272,2598636
01116300,University Of Texas At Tyler,5194610,2597305
00361100,South Plains College,5182219,2591110
00696100,Jefferson Community And Technical College,5179693,2589847
01269300,Pellissippi State Community College,5171189,2585595
00132900,University Of The Pacific,5164869,2582435
01037400,Metropolitan State University,5159002,2579501
00492500,Horry - Georgetown Technical College,5158587,2579294
00225100,Delta College,5146606,2573303
00711500,Moorpark College,5143560,2571780
